Type,Region,Residence Type,Service Type,Year,Coverage,Population,Service level
sdg,Australia and New Zealand,rural,Drinking water,2005,0.33713,12392.65777,Unimproved
sdg,Australia and New Zealand,urban,Drinking water,2005,0.11164,23041.00923,Unimproved
sdg,Australia and New Zealand,total,Sanitation,2006,37.5269,9273716.22976,Basic service
sdg,Australia and New Zealand,total,Sanitation,2006,0,0,Limited service
sdg,Australia and New Zealand,total,Sanitation,2006,0,0,Open defecation
sdg,Australia and New Zealand,total,Sanitation,2006,62.46575,15436650.03094,Safely managed service
sdg,Australia and New Zealand,total,Sanitation,2006,0.00735,1815.5393,Unimproved
sdg,Australia and New Zealand,total,Drinking water,2006,99.83369,24671084.07212,At least basic
sdg,Australia and New Zealand,rural,Drinking water,2006,99.47797,3690437.18527,At least basic
sdg,Australia and New Zealand,urban,Drinking water,2006,5.66076,1188895.16138,Basic service
sdg,Australia and New Zealand,total,Drinking water,2006,0,0,Limited service
sdg,Australia and New Zealand,rural,Drinking water,2006,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2006,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2006,94.23576,19791750.61838,Safely managed service
sdg,Australia and New Zealand,total,Drinking water,2006,0.03813,9421.57145,Surface water
sdg,Australia and New Zealand,rural,Drinking water,2006,0.25396,9421.57136,Surface water
sdg,Australia and New Zealand,urban,Drinking water,2006,0,0,Surface water
sdg,Australia and New Zealand,total,Drinking water,2006,0.12818,31676.66374,Unimproved
sdg,Australia and New Zealand,rural,Drinking water,2006,0.26807,9944.992,Unimproved
sdg,Australia and New Zealand,urban,Drinking water,2006,0.10348,21732.22023,Unimproved
sdg,Australia and New Zealand,total,Sanitation,2007,36.60312,9205460.87929,Basic service
sdg,Australia and New Zealand,total,Sanitation,2007,0,0,Limited service
sdg,Australia and New Zealand,total,Sanitation,2007,0,0,Open defecation
sdg,Australia and New Zealand,total,Sanitation,2007,63.38952,15942075.25523,Safely managed service
sdg,Australia and New Zealand,total,Sanitation,2007,0.00736,1849.86545,Unimproved
sdg,Australia and New Zealand,total,Drinking water,2007,99.85134,25111999.23654,At least basic
sdg,Australia and New Zealand,rural,Drinking water,2007,99.54743,3735931.98887,At least basic
sdg,Australia and New Zealand,urban,Drinking water,2007,5.29222,1132348.8368,Basic service
sdg,Australia and New Zealand,total,Drinking water,2007,0,0,Limited service
sdg,Australia and New Zealand,rural,Drinking water,2007,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2007,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2007,94.61242,20243718.05642,Safely managed service
sdg,Australia and New Zealand,total,Drinking water,2007,0.03787,9524.04723,Surface water
sdg,Australia and New Zealand,rural,Drinking water,2007,0.25378,9524.04708,Surface water
sdg,Australia and New Zealand,urban,Drinking water,2007,0,0,Surface water
sdg,Australia and New Zealand,total,Drinking water,2007,0.11079,27862.67839,Unimproved
sdg,Australia and New Zealand,rural,Drinking water,2007,0.19879,7460.50355,Unimproved
sdg,Australia and New Zealand,urban,Drinking water,2007,0.09536,20402.90677,Unimproved
sdg,Australia and New Zealand,total,Sanitation,2008,35.68034,9137893.79207,Basic service
sdg,Australia and New Zealand,total,Sanitation,2008,0,0,Limited service
sdg,Australia and New Zealand,total,Sanitation,2008,0,0,Open defecation
sdg,Australia and New Zealand,total,Sanitation,2008,64.3123,16470667.84577,Safely managed service
sdg,Australia and New Zealand,total,Sanitation,2008,0.00737,1886.36218,Unimproved
sdg,Australia and New Zealand,total,Drinking water,2008,99.86886,25576862.03269,At least basic
sdg,Australia and New Zealand,rural,Drinking water,2008,99.61671,3784404.62425,At least basic
sdg,Australia and New Zealand,urban,Drinking water,2008,4.92356,1073901.60361,Basic service
sdg,Australia and New Zealand,total,Drinking water,2008,0,0,Limited service
sdg,Australia and New Zealand,rural,Drinking water,2008,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2008,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2008,94.98921,20718555.0916,Safely managed service
sdg,Australia and New Zealand,total,Drinking water,2008,0,0,Surface water
sdg,Australia and New Zealand,rural,Drinking water,2008,0,0,Surface water
sdg,Australia and New Zealand,urban,Drinking water,2008,0,0,Surface water
sdg,Australia and New Zealand,total,Drinking water,2008,0.13114,33586.34696,Unimproved
sdg,Australia and New Zealand,rural,Drinking water,2008,0.38329,14561.07964,Unimproved
sdg,Australia and New Zealand,urban,Drinking water,2008,0.08723,19026.30479,Unimproved
sdg,Australia and New Zealand,total,Sanitation,2009,34.7562,9062397.10955,Basic service
sdg,Australia and New Zealand,total,Sanitation,2009,0,0,Limited service
sdg,Australia and New Zealand,total,Sanitation,2009,0,0,Open defecation
sdg,Australia and New Zealand,total,Sanitation,2009,65.23642,17009867.72583,Safely managed service
sdg,Australia and New Zealand,total,Sanitation,2009,0.00738,1925.16461,Unimproved
sdg,Australia and New Zealand,total,Drinking water,2009,99.88628,26044537.45207,At least basic
sdg,Australia and New Zealand,rural,Drinking water,2009,99.68593,3832605.82712,At least basic
sdg,Australia and New Zealand,urban,Drinking water,2009,4.55324,1012163.39599,Basic service
sdg,Australia and New Zealand,total,Drinking water,2009,0,0,Limited service
sdg,Australia and New Zealand,rural,Drinking water,2009,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2009,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2009,95.36769,21199767.77438,Safely managed service
sdg,Australia and New Zealand,total,Drinking water,2009,0,0,Surface water
sdg,Australia and New Zealand,rural,Drinking water,2009,0,0,Surface water
sdg,Australia and New Zealand,urban,Drinking water,2009,0,0,Surface water
sdg,Australia and New Zealand,total,Drinking water,2009,0.11372,29652.73397,Unimproved
sdg,Australia and New Zealand,rural,Drinking water,2009,0.31407,12075.17134,Unimproved
sdg,Australia and New Zealand,urban,Drinking water,2009,0.07907,17576.82965,Unimproved
sdg,Australia and New Zealand,total,Sanitation,2010,33.82929,8973135.02654,Basic service
sdg,Australia and New Zealand,total,Sanitation,2010,0,0,Limited service
sdg,Australia and New Zealand,total,Sanitation,2010,0,0,Open defecation
sdg,Australia and New Zealand,total,Sanitation,2010,66.16332,17549653.78785,Safely managed service
sdg,Australia and New Zealand,total,Sanitation,2010,0.00739,1959.18563,Unimproved
sdg,Australia and New Zealand,total,Drinking water,2010,99.9024,26498861.11521,At least basic
sdg,Australia and New Zealand,rural,Drinking water,2010,99.7467,3877850.50336,At least basic
sdg,Australia and New Zealand,urban,Drinking water,2010,4.1817,946613.38218,Basic service
sdg,Australia and New Zealand,total,Drinking water,2010,0,0,Limited service
sdg,Australia and New Zealand,rural,Drinking water,2010,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2010,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2010,95.74744,21674395.08275,Safely managed service
sdg,Australia and New Zealand,total,Drinking water,2010,0,0,Surface water
sdg,Australia and New Zealand,rural,Drinking water,2010,0,0,Surface water
sdg,Australia and New Zealand,urban,Drinking water,2010,0,0,Surface water
sdg,Australia and New Zealand,total,Drinking water,2010,0.0976,25887.72026,Unimproved
sdg,Australia and New Zealand,rural,Drinking water,2010,0.2533,9847.66058,Unimproved
sdg,Australia and New Zealand,urban,Drinking water,2010,0.07086,16041.03507,Unimproved
sdg,Australia and New Zealand,total,Sanitation,2011,32.8994,8868583.38852,Basic service
sdg,Australia and New Zealand,total,Sanitation,2011,0,0,Limited service
sdg,Australia and New Zealand,total,Sanitation,2011,0,0,Open defecation
sdg,Australia and New Zealand,total,Sanitation,2011,67.09321,18086099.38965,Safely managed service
sdg,Australia and New Zealand,total,Sanitation,2011,0.00739,1993.22186,Unimproved
sdg,Australia and New Zealand,total,Drinking water,2011,99.90968,26932327.54363,At least basic
sdg,Australia and New Zealand,rural,Drinking water,2011,99.74715,3917352.22295,At least basic
sdg,Australia and New Zealand,urban,Drinking water,2011,3.81625,878858.66883,Basic service
sdg,Australia and New Zealand,total,Drinking water,2011,0,0,Limited service
sdg,Australia and New Zealand,rural,Drinking water,2011,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2011,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2011,96.12114,22136116.94414,Safely managed service
sdg,Australia and New Zealand,total,Drinking water,2011,0,0,Surface water
sdg,Australia and New Zealand,rural,Drinking water,2011,0,0,Surface water
sdg,Australia and New Zealand,urban,Drinking water,2011,0,0,Surface water
sdg,Australia and New Zealand,total,Drinking water,2011,0.09032,24347.99007,Unimproved
sdg,Australia and New Zealand,rural,Drinking water,2011,0.25285,9930.15772,Unimproved
sdg,Australia and New Zealand,urban,Drinking water,2011,0.06261,14418.68703,Unimproved
sdg,Australia and New Zealand,total,Sanitation,2012,31.96711,8750170.09161,Basic service
sdg,Australia and New Zealand,total,Sanitation,2012,0,0,Limited service
sdg,Australia and New Zealand,total,Sanitation,2012,0,0,Open defecation
sdg,Australia and New Zealand,total,Sanitation,2012,68.02548,18620216.78296,Safely managed service
sdg,Australia and New Zealand,total,Sanitation,2012,0.00741,2027.12543,Unimproved
sdg,Australia and New Zealand,total,Drinking water,2012,99.91697,27349686.49286,At least basic
sdg,Australia and New Zealand,rural,Drinking water,2012,99.74726,3951896.21143,At least basic
sdg,Australia and New Zealand,urban,Drinking water,2012,3.44814,807226.65314,Basic service
sdg,Australia and New Zealand,total,Drinking water,2012,0,0,Limited service
sdg,Australia and New Zealand,rural,Drinking water,2012,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2012,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2012,96.49755,22590564.56503,Safely managed service
sdg,Australia and New Zealand,total,Drinking water,2012,0,0,Surface water
sdg,Australia and New Zealand,rural,Drinking water,2012,0,0,Surface water
sdg,Australia and New Zealand,urban,Drinking water,2012,0,0,Surface water
sdg,Australia and New Zealand,total,Drinking water,2012,0.08303,22728.15289,Unimproved
sdg,Australia and New Zealand,rural,Drinking water,2012,0.25274,10013.20084,Unimproved
sdg,Australia and New Zealand,urban,Drinking water,2012,0.05431,12714.28182,Unimproved
sdg,Australia and New Zealand,total,Sanitation,2013,31.03299,8618925.9303,Basic service
sdg,Australia and New Zealand,total,Sanitation,2013,0,0,Limited service
sdg,Australia and New Zealand,total,Sanitation,2013,0,0,Open defecation
sdg,Australia and New Zealand,total,Sanitation,2013,68.9596,19152447.01472,Safely managed service
sdg,Australia and New Zealand,total,Sanitation,2013,0.00741,2058.05498,Unimproved
sdg,Australia and New Zealand,total,Drinking water,2013,99.9243,27752406.83143,At least basic
sdg,Australia and New Zealand,rural,Drinking water,2013,99.74741,3984015.44239,At least basic
sdg,Australia and New Zealand,urban,Drinking water,2013,3.452,820861.77664,Basic service
sdg,Australia and New Zealand,total,Drinking water,2013,0,0,Limited service
sdg,Australia and New Zealand,rural,Drinking water,2013,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2013,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2013,96.50201,22947528.64556,Safely managed service
sdg,Australia and New Zealand,total,Drinking water,2013,0,0,Surface water
sdg,Australia and New Zealand,rural,Drinking water,2013,0,0,Surface water
sdg,Australia and New Zealand,urban,Drinking water,2013,0,0,Surface water
sdg,Australia and New Zealand,total,Drinking water,2013,0.0757,21025.19327,Unimproved
sdg,Australia and New Zealand,rural,Drinking water,2013,0.25259,10088.76602,Unimproved
sdg,Australia and New Zealand,urban,Drinking water,2013,0.04599,10935.8778,Unimproved
sdg,Australia and New Zealand,total,Sanitation,2014,30.09778,8476722.04246,Basic service
